key_id,fields,repeat,seed,frequency_preserved_exactly,cardinality_preserved_exactly,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max
K3,Bytes | Destination Port | Outbound Interface | Source Port,9,42,True,True,1048576,937380,0.8939552307128906,111196,887766,0.9470716251680215,887766,0.8466396331787109,10,88,13,1.239776611328125e-05,0.9999876022338867,1.0,1.0,2.0,2235
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,9,42,True,True,1048576,835084,0.7963981628417969,213492,748726,0.8965876486676789,748726,0.7140407562255859,19,138,30,2.86102294921875e-05,0.9999713897705078,1.0,2.0,2.0,4718
K5,Bytes | Category of app | Outbound Interface | Source Port,9,42,True,True,1048576,834967,0.7962865829467773,213609,748542,0.8964929152888677,748542,0.7138652801513672,33,209,48,4.57763671875e-05,0.9999542236328125,1.0,2.0,2.0,4718
K6,Bytes | Outbound Interface | Source Port | Technology of app,9,42,True,True,1048576,834617,0.7959527969360352,213959,748036,0.8962625970954342,748036,0.7133827209472656,23,174,36,3.4332275390625e-05,0.9999656677246094,1.0,2.0,2.0,4718
K7,Bytes | Outbound Interface | Risk of app | Source Port,9,42,True,True,1048576,835325,0.7966279983520508,213251,749113,0.8967922664831054,749113,0.7144098281860352,22,148,33,3.147125244140625e-05,0.9999685287475586,1.0,2.0,2.0,4718
K1,Application | Bytes | Outbound Interface | Source Port,10,42,True,True,1048576,835157,0.7964677810668945,213419,749160,0.8970289418636257,749160,0.7144546508789062,17,321,29,2.765655517578125e-05,0.9999723434448242,1.0,2.0,2.0,4743
K2,Application | Bytes | Destination Country | Source Port,10,42,True,True,1048576,840143,0.8012228012084961,208433,756554,0.9005062233453115,756554,0.7215061187744141,11,187,13,1.239776611328125e-05,0.9999876022338867,1.0,1.0,2.0,4730
K3,Bytes | Destination Port | Outbound Interface | Source Port,10,42,True,True,1048576,937198,0.8937816619873047,111378,887761,0.9472502075335202,887761,0.8466348648071289,14,294,18,1.71661376953125e-05,0.9999828338623047,1.0,1.0,2.0,2249
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,10,42,True,True,1048576,834762,0.7960910797119141,213814,748558,0.896732242243897,748558,0.7138805389404297,18,324,30,2.86102294921875e-05,0.9999713897705078,1.0,2.0,2.0,4743
K5,Bytes | Category of app | Outbound Interface | Source Port,10,42,True,True,1048576,834631,0.7959661483764648,213945,748347,0.896620183050953,748347,0.713679313659668,33,396,50,4.76837158203125e-05,0.9999523162841797,1.0,2.0,2.0,4743
